EAJCMPPOAHM GetPlayerTokenReq
PPADAHIBECF instanced_modifier_id
MFGJBFJPMFP is_modifier_added
OAMGNOLIJIL enter_pos
MEGAGEEOKCH vehicle_type
MNPCNBEAILH enter_rot
LGGEMGIHPKC SceneEntityInfo
EKGLCLAKGJJ ProtEntityType
ONCBLCPNCMM entity_type
AENNFELMHHL MotionInfo
GJPBBNNCFFI PropPair
EOBEKPKEDGN FightPropPair
CCHJFFGEHJN prop_list
PKEECDKMCIL fight_prop_list
IHAKHLOBKMO AnimatorParameterValueInfoPair
BEFDAKMPJMA animator_para_list
EBDNJKNMKGE motion_info
PJHDHCFGHHG last_move_scene_time_ms
CEPEOJONAHN last_move_reliable_seq
DGPCOLIOPNN EntityClientData
KKHAMHMKGKK entity_client_data
ADDBLAKEBND EntityEnvironmentInfo
PENGPFHJIAD entity_environment_info_list
MLHDFAHAKCA EntityAuthorityInfo
GMAEHBCDEHB entity_authority_info
DNFBAFHHLAB tag_list
MKEEAEKCDFF entity
DFAHFNEDEFN SceneMonsterInfo
IHHADJLDPGF SceneNpcInfo
DNBNIGFDJAD SceneGadgetInfo
FDHPENPGNIM name
EEDHNPGLEAM rot
DDKEDGFAMFC speed
EFIIBLFGBIB MotionState
FGMJHKPFEAI state
CNAAEJKOMNO params
NFCEMDEKLKB ref_pos
IKGPOFEIIAA ref_id
CADKNDAGPEJ scene_time
FHBELLPCOEI interval_velocity
NJMGLGLMEMP prop_value
MIHFADDOKKL prop_type
NJMGLGLMEMP prop_value
ELCGPIHINEF name_id
LACLOBDPAJE AnimatorParameterValueInfo
PLFAIJAABEA animator_para
NDEKGHKBCDL para_type
OLIPCDJHCNG para_val
AIEPFHLMMNG wind_change_scene_time
DOENKGMHKMA windmill_sync_angle
MEANDNIHIIG wind_change_target_level
JKHHLAOCKCB json_climate_type
LAACNBKONKD climate_area_id
KFFCABPCFKO SceneEntityAiInfo
NIEMOLEEJII ai_info
AENOBDPMGAO born_pos
DBNEJKDLLMP pose_para_list
MAPIBLIBCHP client_extra_info
EDOOODNEOEA EntityClientExtraInfo
LLPFLNFNOMI skill_anchor_position
ILDJHJBJJEP skill_cd_map
NJMNGKCCOAO ServantInfo
PCJHDHHJHNA servant_info
IBJEMEIACPD ai_threat_map
LPDKMELEMJK skill_group_cd_map
BKJFFGFBKBN cur_tactic
JFCMPMFKPKN is_entered_combat
NPHBHKBNLKA master_entity_id
OLIPMENLPHE born_slot_index
EPBPBONBEPJ monster_id
LDNIDBOBIOM SceneFishInfo
JAMKFPJJDNF FishtankFishInfo
EPBPBONBEPJ monster_id
CLAFGCCAALG group_id
EALGIDBDAHM config_id
PHENGAJCECL weapon_list
IHPIGFCBPLK authority_peer_id
OFKNHDFLBEF affix_list
OPIGFDJGLPH is_elite
IGGPCJOLBLE owner_entity_id
AJIFBGGKKNH summoned_tag
PGPNGDFIMJE summon_tag_map
NKMOBABNOPK pose_id
JOFKKFPEJFG born_type
MJCIPAMKOHA block_id
JKEDJOOFEMP mark_flag
BPIIDPIGNBL title_id
BDALDMDIOHH special_name_id
KGNFGAIKBJF attack_target_id
POIOAPAFFEO monster_route
NPKGGPACGNC ai_config_id
KGIHIIFLILK level_route_id
MBHGKDPFDKN init_pose_id
DIHJGGHPNAP is_light
LJEGHBOPOOO content
GLFEBHFLMLP MonsterBornType
FJEBHMDBKCI MonsterRoute
IPPNILLHICF npc_id
AJAKHHMCPIC room_id
IMPKHPFNIFI parent_quest_id
GLKNEFJANKM GadgetBornType

AACLOJFLOGJ gadget_state
CKCENFNDODL gadget_type
CGAFGDIEJHP is_show_cutscene
KAGDBOKBGJI is_enable_interact
FCFBHNDPJBK interact_id
EKKEPJBDKAK prop_owner_entity_id
GHHKPEOPNAD platform
KECONFKNIHH interact_uid_list
JPHFHCNPMOD draft_id
BBDLHLCJMHE gadget_talk_state
LKCOFGFBAKD play_info
MPBFOJAHPAE ugc_tower_level_up_gadget_info
HNLJFLNNHEG journey_gear_operator_info
ABBMEDPNCEE ugc_v2_special_gadget_info
FAHIABLMJLJ GatherGadgetInfo
BEPNEBOKCLJ WorktopInfo
MJNFIOBAKEC ClientGadgetInfo
LADKLKEKPBF WeatherInfo
LEFMKHHPKLO AbilityGadgetInfo
BMFIPLPJCID StatueGadgetInfo
BDMKDDENDLE BossChestInfo
GJIFOODKHPG BlossomChestInfo
GPCALIBHHBH MpPlayRewardInfo
DINCODPJNKL GadgetGeneralRewardInfo
FGFKBAMFPFJ OfferingInfo
NLPBLNOBOGK FoundationInfo
BOEAPENBOOJ VehicleInfo
NKMKJDPOGKI EchoShellInfo
GFBGODPEHMO ScreenInfo
EAPBPFDPKJF FishPoolInfo
GCBPJCOHLNL CustomGadgetTreeInfo
JNAPBBLJIFJ RoguelikeGadgetInfo
FCFGJLKONJI NightCrowGadgetInfo
CKIMEJOBOGF DeshretObeliskGadgetInfo
GBIBPFILFAJ CoinCollectOperatorInfo
HLEKFIJOKGN TrifleGadget
CHGGFDEKHLP UgcSpecialGadgetInfo
FJFNEDOIKEG JourneyGearGadgetInfo
AOGLLLKPKEF UgcTowerLevelUpGadgetInfo
IPJHGGKKGHK GadgetPlayInfo
NHKHIPMJDJK PlatformInfo

IIPECDHHIHJ route_id
MILLAOLLLKO start_index
DBHOLEIOGBN start_route_time
LDCBKABLHKO start_scene_time
CMKPMPJBBPB start_pos
HHLBKGMLJCB is_started
MAGKHDHJFCN start_rot
KKPBJNLHPCO stop_scene_time
ADAIAJOJMLI pos_offset
FOFBCFHPAOB rot_offset
GHFALGEOELB moving_platform_type
IAOJKBOKKEF is_active
ONFKNFBDCHP route
CPFKCFCNCML point_id
GECJHDMNHEB MathQuaternion
JIJPBOGPHMI MovingPlatformType
LJEDDCELDHD Route
AHHGOHCKBFA RoutePoint
NFCHLKEMMBB route_type
NEIFENDBKIA route_points
FFNALDFONIF position
DHPIHLDBJAM arrive_range
OIJKLGCNKFD point_type
POHNNENIPKJ move_params
NGKDFGDLNBB rotate_params
IIMFFBFEJLJ play_type
KCIBAPNEACD duration
PDCHKBFCJND progress_stage_list
FKKFIJHCPGH start_cd
DNIKFMLOEHH start_time
BMKCCFHFGBM progress
BKGADGKLFMA GadgetCrucibleInfo
FCNMLPGDLPM mp_play_id
GCMMCJHKOIN tower_level
HAIJOGCFJLG level_id
OGAAGJGIEGJ ugc_gadget_config_id
HGLLNCHKGGP is_forbid_guest
MOLBMFKJDFH option_list
AANMOJAGPPB is_guest_can_operate
ALGDDLDFAJD AvatarEnterSceneInfo
GLKMAPBLCCB buff_id_list
OBKJLALLMIF avatar_entity_id
CONEOGDIJPB weapon_entity_id
INIEBMOHCNK avatar_guid
BJGLFNHPAEE weapon_guid
LJKCGNOEKDF avatar_enter_info
LFPLKIJAMIB PlayerEnterSceneInfoNotify
GDDPFCIIKCK enter_scene_token
HKNAMBGBJEM cur_avatar_entity_id
NPMGPGPBBBO TeamEnterSceneInfo
CGBHHHGMBAF team_ability_info
BDPAEJGEFLN AbilityControlBlock
CANFMHMOLLN ability_control_block
FHIOGKMOIDJ team_entity_id
HMMMDDDJGME MpLevelEntityInfo
ELLPNIOKNLK mp_level_entity_info
OFEBNOFPDLA team_enter_info
EAACHHLOILK SceneTeamAvatar
HNBFOMOOGKF is_reconnect
FJEFEGGPJPI avatar_info
HOJKAGJOGLM scene_avatar_info
NOOOMMGMMCG scene_entity_info
FHNNGLCBBDP player_uid
JKLHMKOJGIA scene_id
GCDCGFLHANM SceneTeamUpdateNotify
PEEPNPKKGFM is_in_mp
DLBCEFHMNEI scene_team_avatar_list
EJFPLGPMBKP VisionType
FPIMCCMFBJJ StoreType
KGBJINIGOII PlayerStoreNotify
FNCNEFGAFEA store_type
FIKNGPCHBFE item_list
CBIPKOCCFNH weight_limit
LLAHPHECALL SceneDataNotify
ILEIONLOAEP level_config_name_list
IIOPFHBCMAI MapLayerInfo
LOIGMNMLDEA map_layer_info
KCODMDFLDBA AdjustTrackingInfo
NHKACNPMALL TrackingIOInfo
ADIDEHEBDFM FeatureBlockInfo
LILHPJEFHPP feature_block_info_list
INPNDKIANJP end_time
OHENDAHBIGD ShortAbilityHashPair
NMFBNLMLICN ability_name_hash
LJIOCEKNIJM ability_config_hash
EHBPGDNOCHD short_ability_hash_map
BKOEPKMFEJE is_relogin
MHIGGKLECDC GetScenePointReq
MAGBCIJJDHD belong_uid
NLHOAOPAKIK ForwardType
PCJDLGFJKML AbilityInvokeEntry
ADIFDMIBKKI total_tick_time
FJPKPGEDNNB ability_data
OIJMHPLMNMK is_ignore_auth
NILHAHJDJHI argument_type
ONOKOLMFJOM head
CMFBCLPIJPH AbilityInvokeArgument
GEEDCAJEIGE AbilityInvokeEntryHead
HMHLOFKJCAM forward_peer
JIAJNLIAHPN event_id
HCKIIEKDFOH forward_type
APMHJDAMFNI is_serverbuff_modifier
GLFIEBNNFGD local_id
OGFBODILHJO modifier_config_local_id
AIJIGIFHMMK target_id
JDIFCAEPHDL instanced_ability_id
OHGCBCAPJJB PostEnterSceneReq
JFOLPFFHLBJ PingReq
LIADCLOAJCC ue_time
LAKBGLGGMJJ retcode
CFCAIEHAHOJ PingRsp
OIFPKGLEHND account_uid
PINANGOPBKH PlayerTimeNotify
HHMBGLIGNDF is_paused
LPDJEJBIOMJ player_time
LPLPGKBOANL PlayerSetPauseReq
HPINABAGOJP QueryPathReq
IMGEKDOJFOD OptionType
HGDDDJHCKDP query_type
ALNNNOIKCIC source_pos
AHBECHLOOMH destination_pos
MIDFALLAEMA query_id
IPCLEFHKNNL Vector3Int
MINEFIDNBOL QueryFilter
GOLMCAHBHKC filter
HEJKCDEEAJF QueryPathRsp
JIGJNOCFGKJ PathStatusType
OGJFBCEIOOG corners
CFGMICKDFKC query_status
EAEBNEPEIIP SceneTimeNotify
BDPEGMABAEB skill_id
FHNJFCJNPIA caster_id
EACINJAGDEI forward
ELMPPLGMLDM EvtDoSkillSuccNotify
JBPJMEEIIAK ChangeAvatarReq
FEFCPCMLLCO move_pos
NAFLPMMIGCO cur_guid
PELFFBEPMAE ChangeAvatarRsp

IOCDENNMGCF OnlinePlayerInfo
CKCLJOEFLNG player_level
MLLPAHPOAEG mp_setting_type
NCLLEKIGLMC MpSettingType
JDFMDPBKPLC cur_player_num_in_world
BEBAMLLJLDF blacklist_uid_list
KKKKMJBHPDH psn_id
NIFDAAGCLGL ServerTimeNotify
KOLICNEAFDN action_type
DNIPPJNKIML client_game_time
EGPMMFADOPH server_game_time
KNKFKPANBLL is_failed
AOBJEBPKHBF execution_game_time
DDOHAINMIIP entity_id_list
MOABHLBBGCG SkipPlayerGameTimeReq
HCLHCLMPLBE game_time
FGMHAMAPCKE is_force_set
GLEKDCKOJPN ChangeGameTimeReq
FNNANIJMIFO extra_days
AGDEGGPJMKF PlayerGameTimeNotify
EFAKCIMKMJE is_home
NDGBJPPGLLE AvatarTeamAllDataNotify
FLIJCCPELAB cur_avatar_team_id
PNLJDFMCGCO AvatarTeamUpdateNotify
LMGMJDDKKLN reliquary
ALIGHFBBEHL equip_guid
KOFKIELOKOM equip_type
CBMNKABEAKK AvatarEquipChangeNotify
OBCPALFODGO ClientAbilityChangeNotify
EIOHJPHIEIK is_init_hash
JLPGGADHGNM invokes
CEDIGLOENOG ClientAbilityInitFinishNotify
BGGBNOEMMAM CombatTypeArgument
ABPLNOCNBHD combat_data
PGBECCOGHNO CombatInvokeEntry
GBOOOEDJJCN CombatInvocationsNotify
NPNMPHDIJPP invoke_list
BNCINGJOIJH ChangeHpDebts
LNAJPIGMPEO EntityFightPropChangeReasonNotify
FNDPFPIEMBG change_hp_debts
LOFDDBODION param_list
MFJNHNBMJAG paid_hp_debts
OADKIAELPDP prop_delta
HLAAINFBHKP attack_result
MILNIPBMLOB AttackResult
BMEALAKEDPN frame_num
MDLLDHALFJP EvtBeingHitInfo
AJGPLPBCOHC EvtBeingHitNotify
DIPFLAPKPJH being_hit_info
JPGFPMKLOFJ EvtBeingHitsCombineNotify
GKIMOJMLPKF evt_being_hit_info_list
JOAGFNNOGOC EvtCreateGadgetNotify
CGKCMLFHIBL is_peer_id_from_player
OEMJIGLPJPN LifeStateChangeNotify

NNDIOKHEION source_entity_id
INBCKFDNGDP move_reliable_seq
DHLNMDKNNNH attack_tag
NHOMMBLLNCF AvatarLifeStateChangeNotify
LBBLFPBLDDB PlayerWorldSceneInfo
OMGHNDPOMEC PlayerWorldSceneInfoListNotify
MEAOKNMLGLD info_list
AHKOLDBHIEP unlocked_area_id_list
IMIFJMPAABN sign
DJFFBOHHIPC server_rand_key
MOMPKPFNLCC client_version_random_key

PFOIGECDCBH Uint32Pair
PCGPFDGCGJH key
KGHKKIDJMEO scene_point_id_list
EAOOHIMFGOK DungeonEntryInfoReq
MCJJIANGBIF DropItemReq
EHHBGPNMPBM DropItemRsp
OGNDJCBKGDD InterOpType
KGFPDIFNMNF ResinCostType
MIHMFEPKPFN GadgetInteractReq
IGBHBMONNMP resin_cost_type
JEEHFCKCCNH op_type
GICOJCLJHKA is_use_condense_resin
HPKOMMHAMGG gadget_entity_id
NLFCFKPGANE ui_interact_id
EBNNIDDIMGO InteractType
NKFBCOGOPGF interact_type
MKDLCPGOIEO GadgetInteractRsp
OBLBHIAINAG MiracleRingDeliverItemRsp
IPOOKNBCJPL VehicleInteractRsp
AMEAFAKKAPN VehicleInteractReq
HMKKMJCEMKA VehicleInteractType
IOPNDALKKPD choose_avatar_guid
NEFFMOJDAOG SetEntityClientDataNotify
PJEHCFOIAIL MarkMapReq
DNFMGBFCMCN Operation
NOEENHDOHJF MapMarkPoint
HNJAJCMNMKE mark 
KNLCBOEDDOB old
IJAFCHPFFBN op
MDNNLOAEIND MapMarkPointType
LDNAMAJKHNE MapMarkFromType
OHGNIIEOAGB from_type
HHBOEBCLEAB quest_id
BNOHEPKOKKL map_layer_id
ABBIJMEPJFB SceneAreaWeatherNotify
LDJFFNGEEME weather_value_map
APLIBGGAAAD trans_duration
OBCIIDLINGA climate_type
GOKDGPONIDB weather_area_id
EONELJIEDOD weather_gadget_id
KKKLLFEBAEA is_connected
LIJBBHCLHJB ScenePlayerInfo
HILKLLGAAMC ScenePlayerInfoNotify
LKPBOIANKIA player_info_list
LPFEGNNJEAE GetPlayerSocialDetailReq
ILPNCDOLMNJ SocialDetail
LCMNFJGNKKO detail_data
MDECLFLKICH GetPlayerSocialDetailRsp
EMKMIKNMBJL EnterSceneReadyReq
LHIJLLLAJEF EnterScenePeerNotify
EDCLFNIDIBL dest_scene_id
GOLCGFGJBFC dest_pos
GKNHJGBDIIL PersonalSceneJumpRsp
CIBHGGKCBBO host_peer_id
ILOPDALFHNP HostPlayerNotify
NINOCAGCDGJ host_uid
GEBPBEEBBGN ChatInfo
OEKLCGJPFOP SystemHint
MPLLBLNAIFA is_read
NOICJFHNAMC time
GLCLPCLNMBO PrivateChatNotify
JFJKPCKFJJL chat_info
NGIODHPPBHB PrivateChatReq
LMDDGIFCJJE WearEquipReq
NELLLPIOPKJ WearEquipRsp
IDHOFLFMDDD ObstacleInfo
JJNFCANCMMK center
LBFKNGOFCGA extents
JCBEHJGMKIF rotation
EPMJAFGDPGG obstacle_id
ACFCPJPPFKH shape
ONOHCBDIGPI ShapeType
ADPLLMKLKID ToTheMoonObstacleInfo
ABLCBLENDIO half_extents
DCBLBDLGGCH ShapeType
HPKJKKFIAOP handle_id
MKGGDDIMAJI PathfindingEnterSceneReq
GLFEDLFBACB obstacles
EFBCNCPILLE is_editor
GMEJIGMEFBP version
ECNGFHJEHJD GetScenePointRsp
LMJGHOCIFML GetSceneAreaReq
NDCMNHKINMF HuntingOfferState
MIBNCBMMLFD HuntingOfferData
BODDFOFGOBA hunting_pair
BFKLFAMMAPP HuntingPair
IGKJCHMLDPN city_id
LLEGPEBEPFK crystal_num
NNCBIALHOIC CityInfo
AAKKAECILHJ GetSceneAreaRsp
IFLEDMKHHHB city_info_list
FLOOAPMOBJK area_id_list

OFJLIFKGIKE SceneInitFinishReq
EKPHPNMMFFC SceneInitFinishRsp
MCPNACBJJII EnterSceneDoneReq
EPBJJBCKIPI EnterSceneDoneRsp
GOJKBMALOPD PostEnterSceneRsp

PHBJMLKDOGE PropChangeReason
IMKDCMMKKOG ChangeHpReason
DKDOCHPAHDC change_hp_reason
JONJFEDKIJK ChangeEnergyReason
FLNGBNKPNMA change_energy_reason
FBOAGBIHHKP PropChangeDetailInfo
HMKEDGIPGDE detail_info
GNDFFOCNKCH online_player_info
HJEOMJEKKFA SkipPlayerGameTimeRsp
NAMIBCNKBEE GetAreaExplorePointReq
IGACBDCICHL GetAreaExplorePointRsp
OBPODFCNCOO explore_point_list
PKGNGIEDFPO is_add
JFHJLGILDHH SceneForceUnlockNotify
APFMIKFJMGK force_id_list
JKKANDDBBFP SceneForceLockNotify
FFFHGFPHHBJ entity_list
ABMGLIOHPCG appear_type
MEAALEONABD TeamEntityInfo
JMNIMNDLLBM team_entity_info_list
HLDDFBEFCIA SyncTeamEntityNotify
LKDKEABMCDN UnionCmd
GKGNNBDNPMM cmd_list
CMJGHKHKAGH UnionCmdNotify
GMIHBNBKGIG body
GLDLFNCPGKL message_id
GLNIFBNIDGG StoreWeightLimitNotify
AMKAINFMMDF team_id
FCHAFGPPJLJ ChangeTeamNameReq
NAAPIFKDFDP SetUpAvatarTeamReq
NFEKFFLENDP avatar_team_guid_list
FHPAODNOMOL cur_avatar_guid
EAOOMICENGA SetUpAvatarTeamRsp
EILGBMDLOKK PlayTeamEntityInfo
HPODJMOHGMK gadget_config_id
OEDGCDOIEJA SyncScenePlayTeamEntityNotify
JFLKIKPEFDO WorldDataNotify
CKFCOPJCAKB world_prop_map
LJJIOMBCNDO AvatarPropNotify
INDHNIFDHPH AuthorityChange
NHJABFCDIAJ EntityAuthorityChangeNotify
PJFNODBGBGO authority_change_list
AAGCAHIFECP EntityPropNotify
DMNKECHHKFL PlayerPropChangeNotify
DLMIIKALADN PlayerPropNotify
JOGLFBBIOND EnterWorldAreaReq
IILLJIPKOFO area_id
ELFDMNPHGLG EnterWorldAreaRsp
JNDIIFLIDFG open_state_map
HNFAMAIAEPD SceneRouteChangeInfo
LLONONIBFGH point_list
ELBBMJEGHHG is_forward
KKMAGFCMCHJ SceneRouteChangeNotify
HJEOKNMOCMN ScenePointUnlockNotify
BJFMOABCCNH SceneTransToPointReq
AHLHKAAIOKO SceneTransToPointRsp
HPPDJIAPAAH OpenStateUpdateNotify
CLLJBAEHHJA OpenStateChangeNotify
KOLGBHOGDKM NpcTalkReq
KENBMKDJCKO talk_id
ECAOINDBJNK npc_entity_id
BHKADNAJNII NpcTalkRsp
KCHJPBCHOGB cur_talk_id
GHAAMFLNHIL AvatarFightPropUpdateNotify
EOHCDKCEKIK AvatarFightPropNotify
OKPMELKIACM PersonalSceneJumpReq
ICFPLBIJKCE is_open
NDGNKCBEKLO open_time
CMOLDDPICDF minigame_id
JDMNHEFGDAK FleurFairMinigameInfo
PBKOPMIEENJ FleurFairBalloonInfo
HFGAGAHAOFC FleurFairFallInfo
EPLNEOHJFLF FleurFairMusicGameInfo
LOCGNADNNJL MapAreaInfo
ECCFMKLNHOC GetMapAreaRsp
ENHLDHFAKIK map_area_info_list
KGCAHKPCHFL MapAreaChangeNotify
MCLKDHLCPOD FriendBrief
MCIOFHGCOGN chat_sequence
FLAEDIGLFOG GetPlayerFriendListRsp
