MCEPEGNDBKC StopServerInfo
PFJOLKBOLPG rewarded_fetter_level_list
HJJPKHLHCOF fetter_list
MOBJFIPDCKP FetterData
ILEEEKFLAHO fetter_id
DBFNKINADKC fetter_state
FANJGJOHMOG cond_index_list
IHLNEDGLKNC equip_affix_id
NGLNMHAFKOI left_cd_time
HCCCJPEHPNB controller_path_hash  
FINDICNFLIL prefab_path_remote_hash  
ONMNDNDJFJP prefab_path_hash  
LBEPADOHJHA controller_path_remote_hash  
ILMPPGABFAM combat_config_hash  
EMMLDMIPMPK copy_from_avatar_type
LECMBJNEIGN LECMBJNEIGN
ICPGAOKKNEO avatar_list
HFNGEAKBNLJ AvatarTeam
KHFBGKIKIIA avatar_team_map
CEBKKIIJPMN team_name
DEKBHNIHFEP avatar_guid_list
LECMBJNEIGN AvatarDataNotify
MBCMJHFBFAF backup_avatar_team_order_list
DCKEAMBAHLG cur_avatar_team_id
APMNIBACEHM choose_avatar_guid
EPBCDCIHJFA AvatarRenameInfo
NKFEIOBBNOE avatar_rename_list
NBALDAKGJKD temp_avatar_guid_list
EDGLEDAGGGF AbilityString
KDDOCPHEDNK ModifierProperty
LOJNKEIOLDH key
EGDDHLDLMDM AbilityMetaModifierChange
CDFIMIELDKG ModifierAction
BOBCHKAJDKG AbilityAttachedModifier
FKJDNMOIDHP attached_instanced_modifier
KHPKCPBLLPA action
KODIALFNNHO parent_ability_name
LHJKHCKEAAP parent_ability_override
GBPLNFPOEMC modifier_local_id
BBDPCLJIEKI is_attached_parent_ability
EKJIANLNAFK apply_entity_id
EPBMFIINCIB server_buff_uid
BCAIAONEJAF is_invalid  
NGBCBMADGIJ owner_entity_id  
HPAHIEALFBL instanced_modifier_id  
AOLGDNBOHLG is_serverbuff_modifier  
IAMDEMDPJJB attach_name_hash  
BICBNNKHBIL AbilityAppliedModifier
BCHMLBCADDH parent_ability_entity_id
ENGLPPKJLMF instanced_ability_id
GMMLBBLPJBL exist_duration
OBDLEBEOGGP modifier_durability
NBNFAOLJJAA ModifierDurability
OPFCFLBIAEB sbuff_uid
EEEKCAMINDH AbilityScalarValueEntry
IEDKEKHEEMO float_value
FMELHMILNEA AbilityMetaReInitOverrideMap
JPKECDEPCOM override_map
GDNJPAOGBHN AbilitySyncStateInfo
JHEPMKEDBLA AbilityAppliedAbility
DEPIJKEKJIM AbilityMixinRecoverInfo
PHCAJJIDLKF is_inited  
LFANGBLJDLH sgv_dynamic_value_map  
BBJHEIAADGM applied_abilities  
IKBPEFPMGBL applied_modifiers  
ABIABKLJKFC mixin_recover_infos  
MLEBNGMHHEG dynamic_value_map  
BFAINBPJMJF ability_name
MFBAMLHKDPN ability_override
PBNGFOMLKDA AbilityMetaAddAbility
EKCDFGDDKGI ability
HKGMMAPIJIC source
MIALKKKOELB local_id
BLGOLKKGEDM data_list
PPJBFFBIEJG massive_prop_list
MBFCGKCPAJM
PMCCICGAJKN BreakoutSnapShot
ALHFFHNCPIL breakout_snap_shot
BEIEBFKDNGM SceneTeamAvatar
FPHIGEAEMMC avatar_guid
CGFIDBEDELI ServerBuff
EDGEEILDHIE server_buff_list
CLLKFHMFMKD AbilityControlBlock  
GEFBBONEEIF ability_control_block
PJMFMMGDACA SceneAvatarInfo
EBKOKBKJDHO scene_avatar_info
CLOEOENPBNC avatar_info
MIENHBGMEDJ is_reconnect
NKGGCHLMAEJ player_uid
KFNNEOJMEKJ SceneEntityInfo
FKMGEAMHDGG scene_entity_info
HHDOAPLKMKI server_buff_id
MJKGJJEOLEI server_buff_type
DHOMHMFGHAN is_modifier_added
PCICDHJOPDJ entity_type
FBGCDNILEFN name
MDKNDGFEDPI motion_info
IKPOMDMJJHM prop_list
INJCDEPFEII fight_prop_list
PHIKJEMLPFD animator_para_list
KDMDDNHJAKC last_move_scene_time_ms
KKFNBABMABG last_move_reliable_seq
MEKHLADBAAC entity_client_data
PCLEJKEJAFK entity_environment_info_list
MIKBILICPMH entity_authority_info
IBHOLFPPPJF tag_list
HIHHMEMEGBC ProtEntityType
MKCBJCHJOJL MotionInfo
LMFKMAFGOBK PropPair
EAPNJJADEHO FightPropPair
JOJAGIDAIAP AnimatorParameterValueInfoPair
EGLKMGPEKPL EntityEnvironmentInfo
KCAJDGDHCPC EntityClientData
JAAHIFDMKNG SceneMonsterInfo
LJOPKCPLNPD SceneNpcInfo
KGAHNEAPFMI SceneGadgetInfo
LCJBPMILIPE entity
JCIHOPIGNLO EntityAuthorityInfo
LHODAOBJGOI rot
HEFCKPNCBEM speed
LMBBCACBMDF state
OHLANNHPHEJ params
AAOJPLNIKGC ref_pos
CAAMDINDBEK ref_id
JADFFNJDPCO scene_time
DPOEENHKEEP interval_velocity
GEBEAALOFFG MotionState
BEGONMOPHIE prop_value
BAFDAFCFONN prop_type
OGADJGENOPJ AnimatorParameterValueInfo
MIGGPFEHOBH animator_para
MLHLCMHKHHN name_id
PIOFBMJKICK para_type
PHEMGOIOKKC para_val
GKKEJLLMBCI is_server_cache
HFJHJPNCDCM ability_info
CNCCDCGDBJO renderer_changed_info
NPJNDIOOEMA ai_info
LPFGPPADNEG born_pos
CNHEDPDFNHA pose_para_list
GFOMFNGNAHL client_extra_info
GBILCLIJEPB EntityRendererChangedInfo
NPIGECCPLCO SceneEntityAiInfo
KMHOOILALBG EntityClientExtraInfo
GDNNNHFICMJ changed_renderers
GHNGIPAAMAE visibility_count
GAGKEFMAFIL is_cached
ABFMIPBKJHM EvtEntityRenderersChangedNotify
DPAHFLEOHPC SceneWeaponInfo
GHPBMANIHJJ gadget_id
DKGICECLMHG item_id
LJHDFHCJMLJ promote_level
GCHMBFPADLA affix_map
MCGJIMGGAEA skill_cd_map
MKGICGMIAKH servant_info
JDOMNDFEEBB ai_threat_map
OKLIKMEMJMD skill_group_cd_map
CAEJGBIABNC cur_tactic
JHJOGDEMIPE is_entered_combat
ONGHLHAFOMN ServantInfo
JPAHBFFMJCO master_entity_id
EKFKGAPPOPM born_slot_index
DKHDJLIOGMG skill_anchor_position
LAOOJNILAEB AuthorityChange
JMGBOPGDFAE authority_peer_id
JMIKKCMINIC EntityAuthorityChangeNotify
OIJMGNGNAIG authority_change_list
FDONHANPNMB npc_id
BKPCOMHNDAK room_id
CBPBONIEMLH parent_quest_id
JGKEANBJJFC block_id
KCAMOCJABOH GadgetBornType
BAJGLAOOFCJ group_id
PNENPPHNGJP config_id
HHIKGEMNIKF born_type
HNPBABINMJC gadget_state
OJMDDCBOLIE gadget_type
FLMCIPMOPIF is_show_cutscene
JMGBOPGDFAE authority_peer_id
EIACHOLIPAO is_enable_interact
MOBIBFAAIKN interact_id
DPNKGCLNOIH mark_flag
AGJBEKFCBBL prop_owner_entity_id
EKFFMFPADBJ PlatformInfo
ENMEEILAIOD platform
CAPMBHBEKKF interact_uid_list
OIAACFNDOKE draft_id
HBMHCODHGBB gadget_talk_state
IFPINLHECJM EMOOPIJJMDL
APPFKDDBONJ BJLLOAMBBLA
COGCGBBOCJI init_pose_id
EINCDBOFBJJ affix_list
KEBFHHKAPHI GadgetPlayInfo
CEDIOPIHOEB play_info
AGOANJDBNLG UgcTowerLevelUpGadgetInfo
KMBOFNCAKMP ugc_tower_level_up_gadget_info
ABGMEEHPFMM JourneyGearGadgetInfo
NKBIGDDJDLL journey_gear_operator_info
EJHJPDOEPAL UgcSpecialGadgetInfo
DDGHBLICAEA ugc_v2_special_gadget_info
APDIDEAIAMJ GatherGadgetInfo
IDCLMHJKJDF WorktopInfo
FHKEAMBMLGE ClientGadgetInfo
POBCLGLOFLC WeatherInfo
IKFACEHFHGF AbilityGadgetInfo
KMLAJGCFKJC StatueGadgetInfo
OFEAHFIOCEP BossChestInfo
NOJNFAIONEC BlossomChestInfo
BMLNOOONLNH MpPlayRewardInfo
PNDKHPFFMIF GadgetGeneralRewardInfo
ALNPNIBAKNG OfferingInfo
EGGKAPHBHHA FoundationInfo
NKJNPLPKDFG VehicleInfo
IHLLDBFCDHN EchoShellInfo
FCHEFLKEOHN ScreenInfo
DHPMBHLGHGA FishPoolInfo
MLEMAPKHGBJ CustomGadgetTreeInfo
EHHHLGJKAKL RoguelikeGadgetInfo
DMGIHJEGPKD NightCrowGadgetInfo
FPFLKCHBFGP DeshretObeliskGadgetInfo
AHMJKGDJFGI CoinCollectOperatorInfo
MNDPFGMCKBI TrifleGadget
KKNHOMFANMG route_id
AHPOBJHFIIJ start_index
IDNLLBCJLAC start_route_time
MEILNKINNDI start_scene_time
GFBPLHKCPFJ start_pos
HFOADHHIPKC is_started
DNMNFDJIAIN MathQuaternion
NPGDIMHGFEL start_rot
CMAKPHLBEBB stop_scene_time
OJKLHENEIIA pos_offset
LFDILAJKMDF rot_offset
PGNLNIFIIEN MovingPlatformType
NLAFEIBJLCB moving_platform_type
MGHMNFABIGI is_active
NPFONNEIPLP Route
NHLDCFLPMDN route
BJFPEPIEGOM point_id
OEACPCFNPPK x
EBJJPPHOGLP y
JGMAJNOIBEC z
HFEHHLBPMJL start_time
BPDOEPIFGPG SceneTeamUpdateNotify
MMKONBOAFEC scene_team_avatar_list
CFCLLODDGBF is_in_mp
HHIMNCLOKIO PlayerWorldSceneInfo
CMMABAKEEOH is_locked
GKOHMEBCHMI PlayerWorldSceneInfoListNotify
BEBHKKDLDLA info_list
BOIDJKJHAPN unlocked_area_id_list
BMNKKALPLEH GetScenePointReq
NGJEDIEMHJH is_relogin
NBHFFJLIIDB belong_uid
LBCHHCBEBMF GetScenePointRsp
DAPKGKMPDFB GetSceneAreaReq
NHGNOMCKIDB GetSceneAreaRsp
DACLDKPFKCF city_info_list
MFBECOJLMMO CityInfo
FADMFBGMOKP area_id_list
GCKBKHMIJII city_id
PLNDBNCFNLL crystal_num
KLOKEPMLFMG QueryPathReq
ONKFPHDAFEO OptionType
CNANEIGMHNK destination_pos
FNEOPBJJDOH query_type
MFCLDMPFJJF source_pos
ELBBHLNNEIA query_id
BBDAHJIACMP QueryFilter
FNGJBJAHKCL Vector3Int
EDIFJPGIENO filter
AGDPFKHDJFM QueryPathRsp
NDABHJAHFPC query_status
GNCOGIDFGJN PathStatusType
BPJPIMGCPDP corners
PPDNHCAGDIN PlayerDataNotify
JCDJHMAFIDK server_time
CHCJHLMJPJF region_id
ICKDGGPBJFM nick_name
MEHNEGMKOKO is_first_login_today
DCFDANKJHNC PlayerTimeNotify
IOGDJHIGOFB is_paused
GNPMDJAELCM player_time
NBEPHCHPDHA ServerTimeNotify
DFJIJBNDMJI Uint32Pair
LGPFKEKCCFH skill_id
JIMIJNFFPPE ChangeAvatarReq
ENCEHNEJGHA move_pos
IFPMMEPOHBI cur_guid
JPDIAFBDNCG ChangeAvatarRsp
LNAIIANBMKJ BreakoutAction
AHELMHOPMEF BreakoutActionType
NLEEMEHLMHO action_type
MLOBCOLCEJN client_game_time
ILIFGHFHJBN server_game_time
GPBCMNMKICE is_failed
OMJJGDFDCMA pre_index
GNOFAEBKJKD new_index
NINOAGACNPN BreakoutVector2
HBLEOLGOBBJ move_dir
ICGFMIJHBMF element_type
ELPHIIANKCM element_reaction_buff
DAAGACIJEOG speed_increase_count
NMJIBIPDEOE has_extra_ball
FIKGANLPFJE extra_ball_dir
FCGEAANOADP extra_ball_index
MPPIOMALLPO offset
PIFLELFPPBM execution_game_time
AHHAHEJLNMM entity_id_list
LGOALHCIFLD BreakoutPhysicalObject
DJAGJAPIPKH ball_list
MMHKFAEKBJE physical_object_list
NGNADAPLDCE action_list
ALKKDEGCBPM wave_index
ONBDEHOOHOG is_finish
ICLIHIMPINF score
GALMMKMDFPA combo
JPDDJFNCIMC max_combo
AHKKLEAJLDM life_count
MFCHLJAGBCI wave_suite_index
IICHKECIIMA BreakoutSpawnPoint
FPAACCOFIEG spawn_point_list
IFMKAMLAAHL remaining_boss_hp
FJHCBFIJPBL BreakoutElementReactionCounter
CPOJOOBDEEG brick_element_reaction_list
LGFNEHAGJBL ball_element_reaction_list
KDPLLBBIGDC BreakoutSyncConnectUidInfo
KELKMBFAEII uid_info_list
MGMFILMBNMF dynamic_object_list
DEAGFGJGPMO id_index_list
CKALBIKGKGG raw_client_game_time
HAFCELPFLIJ HMNFHHAKOJB
OPKPGFHLJFL MNJLILHPGIB
KIOKOMLPJID id
KEIDICLLHAI index
ECKKNIJCKNG init_peer_id
FAGDBONCHGI BreakoutPhysicalObjectModifier
HEACBOGBGLB modifier_list
CFBJPDBLLEA BreakoutBrickInfo
IFIBHPAPCNM last_hit_peer_id
EGHIGACCMLM is_force_set
LCDDHBFMPKE game_time
EPGPKCIPAOP SkipPlayerGameTimeReq
BHJMIAJHILC is_home
EHHNIGELGMD PlayerGameTimeNotify
PNEEDNEOFDG MpLevelEntityInfo
KAHAKFGCBFF PlayerEnterSceneInfoNotify
LODHHNCACBG mp_level_entity_info
HNMJNJMKBIN TeamEnterSceneInfo
BJDNPDFCGJH AvatarEnterSceneInfo
KGKFPEIOHCL cur_avatar_entity_id
KLCGEMILHAJ avatar_enter_info
KGCBDBGKPNA team_enter_info
DPBNNKKPEDO buff_id_list
INCBMNGKFPM avatar_entity_id
HJFNCCDAANN weapon_guid
IBDKBAPMPEJ weapon_entity_id
HIIDMGHJMMN team_ability_info
BFPEPKNOKDD team_entity_id
BODKEGCCPMN AbilityEmbryo
KKGLAJEBGNL ability_embryo_list
JJHJFCMIONM ability_id
NJEMGCHIIPA ability_name_hash
PBOBHDNECIM ability_override_name_hash
JLLMFANPPIA AbilityChangeNotify
IGDJBNIKDOP StoreType
LKFKILEIILO PlayerStoreNotify
HPNHGMMOMOJ weight_limit
PGFHONKMIPB item_list
PPGLCNPKDDE Item
PKCLNMHJPIF detail
PNPEGIDKDPE Material
GDDELGPDHGJ Equip
LIHNEIMJHDM Furniture
IOCHIMEDLII count
HEECKCAKKDI MaterialDeleteInfo
NKFEFBOKKAP delete_info
FFDDKHFLGPF CountDownDelete
OEFPMDONCIE DateTimeDelete
KFJDNANMNIJ DelayWeekCountDownDelete
IMJBGMJPEBC delete_time_num_map
JPOGOCGIDCH config_count_down_time
NLAIHMDBMEC delete_time
EIKDHFAOEOM config_delay_week
IBKEKGIPMJA Reliquary
LDFHPKJDHIM exp
BPOEDOKBGIB main_prop_id
LLODMIMLHDD append_prop_id_list
HFAOEDPCDKF Weapon
IHOBLHHLKJI trial_avatar_id
JNLLACGJIMB trial_equip_list
ACCOONCPPOH TrialAvatarGrantRecord
GANMKNGIPNG grant_record
ICPLLHPDPAM store_type
JNJMONEDPDL ClientAbilityInitFinishNotify
BCEDLCGLCAG invokes
JHCFAJAMGAG CombatTypeArgument
GADHEKNFEBK CombatInvokeEntry
NGGGCJGKAIK combat_data
JOBEPOBHBFM CombatInvocationsNotify
BFMCGGOAPBO invoke_list
CGLFNMJKPEE DetailAbilityInfo
AHECDDFAIML caster_id
NHENGDNICBP forward
MDGHDEHAADM EvtDoSkillSuccNotify
FCMGGENEICH PlayerDieType
PNEMLPECPOC DungeonPlayerDieNotify
PDBBIAFNAGO StrengthenPointData
MBCPFBILDJE die_type
APBHKLEJMOF revive_count
LDKPJBIFGFC strengthen_point_data_map
HLIBJKLIONP wait_time
CLPKOBDEJKA attack_tag
LOBIHOIGGGF source_entity_id
DGKCDOKCEHP move_reliable_seq
EIABIPNOGCE SceneTimeNotify
OLMPCCBHGGD GetPlayerSocialDetailRsp
MGODPBGBCCO detail_data
LHFAAANCONE PlayerSetPauseReq
PHGPFHAIGOJ ClientAbilityChangeNotify
LDAOBCJEMJK is_init_hash
CMKMLPHLHCI AvatarTeamAllDataNotify
ACOJFJHAAMC AvatarTeamUpdateNotify
CFLJJCCMPAF SceneReliquaryInfo
KDKBOFAIEFL reliquary
BIPIBBDBFLG equip_guid
EOGLEIAAHFL equip_type
NNDOCFGKMEL AvatarEquipChangeNotify
EDOHMEPCCEL weapon
MKOEDJFBBAK OnlinePlayerInfo
MJGAJKJAHMN online_player_info
IKJDNIBHDID is_connected
PNJEDDKKLFO player_level
MHKIPCNKPDI MpSettingType
JPMIFOIKPHG mp_setting_type
CGPBBFIJCKF blacklist_uid_list
OGOBLAPPFDO psn_id
GIMBCNJJBHP cur_player_num_in_world
ELGGDPLAOID ScenePlayerInfo
BJINOGAHPEG ScenePlayerInfoNotify
CPJGIOHBEOJ player_info_list
NJPOMPCPHEL weather_value_map
JLCJBDJNKJI weather_gadget_id
ELJLHBMEFJI SceneAreaWeatherNotify
NOLFGJJFLJN trans_duration
ALHELOFHAAE weather_area_id
KNPKFFMDLGL climate_type
EADFHPJGHOJ SkipPlayerGameTimeRsp
AFLEDFKDGLM ChangeHpDebts
GEIACCJONEO change_hp_debts
NLPPCMNHCIH EntityFightPropChangeReasonNotify
IMEFMLEBECH param_list
LFFOMDCDENH prop_delta
JFCPIFABEMM paid_hp_debts
CMPIOGFMJLO PropChangeReason
JFJGOBLAEOF PlayerPropChangeReasonNotify
CMFKHKEJKKG cur_value
NFAAENMGCMP old_value
BIBHBEJJFOA reason
IKLAOFKPMML AvatarPropChangeReasonNotify
DHFNEJCNCFJ PropChangeDetailInfo
LJKAPKNJNCE ChangeEnergyReason
JMGCNCDFIMF ChangeHpReason
FCKJMPAIDJP change_hp_reason
CJPMGHBJOKD change_energy_reason
OJFIJHMIICO detail_info
GBIAAHJLOAP TeamEntityInfo
JEAHICPHKNP SyncTeamEntityNotify
EIFCIEOAAFP team_entity_info_list
JGGEPDIDPAO body
DIDLKLJKGNC message_id
OJGMEABMLJI UnionCmd
IEIGJKAMAPH UnionCmdNotify
EKPLIEEGBML cmd_list
FKIKKKEBPBN WearEquipReq
EBGJADNMMLL WearEquipRsp
FHDAPGHPNIO ObstacleInfo
IABJCHDKLHN ShapeType
DDDADCKICDM center
MPGOMIOAJHM shape
JGJMALNKNEE obstacle_id
IBCJKEJJPIP extents
DKIMIOJNEPC rotation
EFMJHBNKHBP PathfindingEnterSceneReq
NGACDHDNAGP obstacles
EGAFKFKCIBC is_editor
JBNPPMIDGLG SetEntityClientDataNotify
KOBADJKKEKC windmill_sync_angle
BOMJNHACHFO wind_change_target_level
HENDNHFGFPE wind_change_scene_time
OCPGJMHHFKM MarkMapReq
KNFMHFKLHED Operation
KLBLMOACNEF op
GBOGIGCALJH MapMarkPoint
EABJOINGOMG mark
NEDJHBNMHGF old
DEDBFEKEBIG point_type
NPAOBBFPDGK MapMarkPointType
FNFIMAMNBIO MapMarkFromType
DOIJFIEINAJ from_type
NOJODNHJLEG quest_id
GMPFPNMFOCO map_layer_id
OEAGKBDCCJP is_read
LKILDLBFGNK time
ODCJJILPIEI content
DFEGBKFJPIL ChatInfo
EBNANCCKFNH PrivateChatNotify
HNDEOFGDIOC chat_info
HNJEANMFOOA PrivateChatReq
EIGJCCHPIBE is_add
BCBCALOBDCE SceneForceUnlockNotify
OGCIBLMFPAA force_id_list
NHODEKOJCJA SceneForceLockNotify
BNKMMHJNMGF cur_avatar_guid
FIJJGDEJPHL avatar_team_guid_list
EFDOJMNKMKI team_id
DLHDHNACJIM SetUpAvatarTeamReq
NBPEDMJNNPN SetUpAvatarTeamRsp
PCFPBFLLCOF PlayTeamEntityInfo
KHCJANKOECK gadget_config_id
NGLPIBEALOG SyncScenePlayTeamEntityNotify
ALEBHIBJPAJ world_prop_map
DJMKBPPNJIH WorldDataNotify
LDHDEKIPIMG AvatarPropNotify
AGNPJBFOELO PlayerPropChangeNotify
LBOHFPDMPJI PlayerPropNotify
GDEGMIFPNGC area_id
ADKAOEDJLOK EnterWorldAreaReq
EHMDNEOKMKK EnterWorldAreaRsp
DHDNAOOHFBD open_state_map
HBPBMNBNDFA OpenStateChangeNotify
FBBHMNMIJNI OpenStateUpdateNotify
NIOKIODBGBA SceneTransToPointRsp
KDBBDKIDGKO ResinCostType
DJEAKPHCCLD GadgetInteractReq
AFAFLDFEEIN InterOpType
PIFJIGEDIKK op_type
EHAGFKFDNBO is_use_condense_resin
ONMGJLIGMIM resin_cost_type
NMGCKPDPBIO gadget_entity_id
ALKFKCCCNPK ui_interact_id
AICCOANFBPL InteractType
AIFDBBDLBNE interact_type
FEIGCAEOFGK MiracleRingDeliverItemRsp
MBFFFJCJHJH GadgetInteractRsp
KHEACGNKFFD AvatarFightPropNotify
GCOIHEJFACC AvatarFightPropUpdateNotify
EGGFGHELPGF FriendBrief
EGNFDGKBOHN GetPlayerFriendListRsp
GAGPIHHPIJO friend_list
KBIPJODLNFD ask_friend_list
MPMGMNCOOPP talk_id
MKJDKBIBBLL NpcTalkReq
HOPBEJDPGOB npc_entity_id
BFBGEFIEMHF NpcTalkRsp
AIEPGFKAKCE cur_talk_id
EOEIMODJJGJ VehicleInteractType
NMIOALLOEPH VehicleInteractRsp
HCIKEFJDOLE VehicleInteractReason
BADMPJEGCHG interact_reason
OHOPMLFDPFP VehicleMember
DJBFGENIFBO member
AFOEMHGNEJH vehicle_type
MEOLDLPEDLE MarkMapRsp
JGBODGPCEML payload
AKBJOCFKPKF WindSeedType1Notify
JKNDFDPCGGB area_list
JDNKKAHMKBI SceneAreaUnlockNotify
ECGHGJKKMGO AiSkillCdInfo
JOKFHNPEFOJ EvtAiSyncSkillCdNotify
HIEPKJOIGAO ai_cd_map
ACFJHMLHDKG VisionType
GNGGPCEGPII entity_list
AGLNKKGOBGB appear_type
MPMLFKCAHLG RoutePointChangeInfo
BLBJBAHGGNN point_index
DFMHCFEFFIJ target_velocity
PDKCOHMBHMD SceneRouteChangeInfo
ADDBDBDICEN is_forward
EHPLBJFDPFN point_list
MJFEAOCLKAL SceneRouteChangeNotify
DOCOJNEFHEC ScenePointUnlockNotify
CNGFMGDBOAP EntityFightPropUpdateNotify
BHBFKIDDCJO DungeonEntryInfoReq
OIMFAHMPPDD scene_point_id_list
EFHCCIKOJLJ LockState
CANHDBCKKED InvestigationMonster
BILMBAEALAI lock_state
KGEPJOHDPOP WeeklyBossResinDiscountInfo
HFBBEKMFGNG weekly_boss_resin_discount_info
MOBGNDEKOJI discount_num
DJFLPOLAGMF discount_num_limit
HLGNBMAMBMJ resin_cost
PMMPLDLOAJM original_resin_cost
MFNJGICGJNG DungeonEntryInfo
JPJDHKLINMI is_passed
ABBACAODFNE next_refresh_time
JEFJKBGJELK dungeon_entry_list
PCHJKBBJOFG recommend_dungeon_id
ENBHGOBOIHK DungeonEntryPointInfo
DLEEIKGBJKD DungeonEntryInfoRsp
